pinecone_id,image_url,error
941173236665,https://www.alrugaibfurniture.com/cdn/shop/products/AB08-73_8fb344fb-f9a9-4ed7-b01d-15cbaf49a5c9_1800x1800.jpg?v=1677675664,Download failed: Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/AB08-73_8fb344fb-f9a9-4ed7-b01d-15cbaf49a5c9_1800x1800.jpg?v=1677675664: 404 Client Error: Not Found for url: https://www.alrugaibfurniture.com/cdn/shop/products/AB08-73_8fb344fb-f9a9-4ed7-b01d-15cbaf49a5c9_1800x1800.jpg?v=1677675664
977997147780,https://cdn.salla.sa/XaeeA/Be3TM0sCPFLPKri0sBogjJhS9mvPSznPunpqlvBE.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-pot'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
750369768557,https://cdn.salla.sa/XaeeA/b6MmcZntDlGivXGIJB2KWJbEZmjwzBO1cf6fTahc.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
945930557787,https://www.ikea.com/sa/en/images/products/linanaes-sofa-protector-f-so3-w-chs-longue-vissle-dark-green__1162664_pe889922_s5.jpg?f=xxs,"Validation error: {""detail"":""No objects detected in image for category 'sofa'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
969445613629,https://www.ikea.com/sa/en/images/products/vimle-cover-for-armrest-gunnared-medium-grey__0781586_pe760892_s5.jpg?f=xxs,"Validation error: {""detail"":""No objects detected in image for category 'sofa'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
645261217988,https://www.ikea.com/sa/en/images/products/segeroen-one-seat-section-outdoor-white-beige__1138770_pe880072_s5.jpg?f=xxs,"Validation error: {""detail"":""No objects detected in image for category 'chair'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
596412176379,https://www.ikea.com/sa/en/images/products/lillehem-armrest-vissle-beige__1246937_pe922391_s5.jpg?f=xxs,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
641233797302,https://cdn.salla.sa/XaeeA/APS5FF0tlYiXVUBLLgnCcOSGlQ73NodrJcMW3JuI.png,"Validation error: {""detail"":""No objects detected in image for category 'food-processor'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
812339617755,https://cdn.salla.sa/XaeeA/yFg0MsK7Ovb3whbepP80RR5mA9lW62mLJgUupbnG.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
742810322549,https://cdn.salla.sa/XaeeA/IdkE4mtEH2gfLYEq6tzcELzYkvZBrghNJT2P6igB.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
298043951142,https://cdn.salla.sa/XaeeA/R7S2qgzxfqQF2YAsHdiZhlY0W7w2HiyNXtaTRWvB.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
116809318665,https://cdn.salla.sa/XaeeA/GTdpiioSoH1kUZMNin3zrYVu5ZKg5PjmKFGPsAb4.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
522523288530,https://cdn.salla.sa/XaeeA/gZG1wPx94M7GhDo0toEpAYr3tVBjHN9THwbrCP7y.png,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
447627356458,https://cdn.salla.sa/XaeeA/GeL4oAEYLD885kPruZ9HGZkPrPvGPFDpi1joopJM.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-pot'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
956083413211,https://cdn.salla.sa/XaeeA/hzOf3BnyOtgXxli2xkSKvBUkvjUz63QfYu2FXF8q.jpg,"Validation error: {""detail"":""No objects detected in image for category 'cooking-appliance'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product with good lighting.""}"
